vendor_no,supplier_name,part_no,part_desc,blanket_po,po_date,po_qty,unit_price,received_qty,desp_qty,vendor_remark,hal_remark,id,division_name,blanket_line
IP1368,PRAGATI TRANSMISSION PVT. LTD.,088732098000MFG-1,GEAR,23LBI-1007,09-03-2024,35,35000,0,5,,,13526,"Engine Divn, Koraput",
IP1368,PRAGATI TRANSMISSION PVT. LTD.,380600048000MFG-1,PINION,23LBI-1008,15-03-2024,36,24554,0,3,,,13527,"Engine Divn, Koraput",
IP1368,PRAGATI TRANSMISSION PVT. LTD.,9507031-01-1,SHAFT,23GBI-1068,23-02-2024,24,3576,0,24,,,13528,"Engine Divn, Koraput",
IP1368,PRAGATI TRANSMISSION PVT. LTD.,K 2506023-00(SPL)-1,DRIVEN GEAR-MAIN FUEL PUMP,23GBI-1017,07-07-2023,58,15000,25,59,,,13529,"Engine Divn, Koraput",
IP1368,PRAGATI TRANSMISSION PVT. LTD.,2506412-00-1,GEAR,23GBI-1017,07-07-2023,48,15800,0,29,,,13530,"Engine Divn, Koraput",
IP1368,PRAGATI TRANSMISSION PVT. LTD.,380600195000MFG-1,PINION,23LBI-1008,15-03-2024,36,53000,0,5,,,13531,"Engine Divn, Koraput",
IP1368,PRAGATI TRANSMISSION PVT. LTD.,380700269000MFG-1,AIR SEPARATOR SHAFT,23LBI-1007,09-03-2024,35,37200,0,5,,,13532,"Engine Divn, Koraput",
IP1368,PRAGATI TRANSMISSION PVT. LTD.,380700046000MFG-1,GEAR,23LBI-1007,09-03-2024,35,29000,0,,,,13533,"Engine Divn, Koraput",
IP1368,PRAGATI TRANSMISSION PVT. LTD.,380600179000MFG-1,INDUCTOR,23LBI-1007,09-03-2024,35,16000,0,5,,,13534,"Engine Divn, Koraput",
IP1368,PRAGATI TRANSMISSION PVT. LTD.,088760176000MFG-1,GEAR,23LBI-1007,09-03-2024,35,39000,0,5,,,13535,"Engine Divn, Koraput",
IP1368,PRAGATI TRANSMISSION PVT. LTD.,470750053000MFG-1,DRIVEN GEAR,23LBI-1007,09-03-2024,35,29000,0,5,,,13536,"Engine Divn, Koraput",
IR0946,RIVER ENGINEERING PVT. LTD.,2504009-00-1,RING HOLDER,23GBI-1026,18-08-2023,35,10300,0,5,,,13537,"Engine Divn, Koraput",
IR0946,RIVER ENGINEERING PVT. LTD.,2504512-00-1,BUSH,23GBI-1013,22-06-2023,35,11857,0,20,,,13538,"Engine Divn, Koraput",
IR0946,RIVER ENGINEERING PVT. LTD.,2506006-00-1,PIN,23GBI-1069,01-03-2024,36,2000,0,36,,,13539,"Engine Divn, Koraput",
IR0946,RIVER ENGINEERING PVT. LTD.,2507006-00-1,COVER,23GBI-1014,24-06-2023,17,17800,0,5,,,13540,"Engine Divn, Koraput",
IR0946,RIVER ENGINEERING PVT. LTD.,37077053L-1,RTR BREATHER,23GBI-1077,05-04-2024,19,10400,0,19,,,13541,"Engine Divn, Koraput",
IR0946,RIVER ENGINEERING PVT. LTD.,9506415-00-1,BRACKET,23GBI-1059,24-11-2023,42,4100,25,42,,,13542,"Engine Divn, Koraput",
IR0946,RIVER ENGINEERING PVT. LTD.,K-9507314-00-1,AIR SEPERATOR ROTER,23GBI-1041,25-09-2023,39,5100,0,13,,,13543,"Engine Divn, Koraput",
IR0966,RPM ENGINEERING SERVICES,0207114L-1,BOLT,23GBI-1002,25-04-2023,1804,44,899,1805,,,13544,"Engine Divn, Koraput",
IR0966,RPM ENGINEERING SERVICES,0257730L-1,SEALING RING,24GBI-1010,15-05-2024,92,63,0,,,,13545,"Engine Divn, Koraput",
IR0966,RPM ENGINEERING SERVICES,1600222-1,BOLT,23GBI-1001,24-04-2023,732,64,40,770,,,13546,"Engine Divn, Koraput",
IR0966,RPM ENGINEERING SERVICES,37167159-1,AXLE,23GBI-1039,18-09-2023,365,107,0,365,,,13547,"Engine Divn, Koraput",
IR0966,RPM ENGINEERING SERVICES,9503817-00-U-PH-1,SPHERICAL RING,23GBI-1012,13-06-2023,742,400,110,655,,,13548,"Engine Divn, Koraput",
IR0966,RPM ENGINEERING SERVICES,9512497-00-1,NUT,22GBI-1014,11-03-2023,3954,67,2650,3954,,,13549,"Engine Divn, Koraput",
